Serial_number:
1023733
Project ID:
CWS
Location:
NFA
Level
UNIT: m
Offset: 0.000000 m
Altitude: 360.000000 m
Density: 1.000000 kg/L
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2014/08/05,11:00:00,0,0.8245,23.069
2014/08/05,11:15:00,0,1.1457,22.023
2014/08/05,11:30:00,0,1.1485,22.030
2014/08/05,11:45:00,0,1.1482,22.035
2014/08/05,12:00:00,0,1.1504,22.033
2014/08/05,12:15:00,0,1.1495,22.028
2014/08/05,12:30:00,0,1.1533,22.019
2014/08/05,12:45:00,0,1.1531,22.000
2014/08/05,13:00:00,0,1.1535,21.974
2014/08/05,13:15:00,0,1.1560,21.952
2014/08/05,13:30:00,0,1.1554,21.926
2014/08/05,13:45:00,0,1.1572,21.903
2014/08/05,14:00:00,0,1.1592,21.882
2014/08/05,14:15:00,0,1.1597,21.869
2014/08/05,14:30:00,0,1.1587,21.862
2014/08/05,14:45:00,0,1.1573,21.858
2014/08/05,15:00:00,0,1.1599,21.855
2014/08/05,15:15:00,0,1.1560,21.846
2014/08/05,15:30:00,0,1.1584,21.878
2014/08/05,15:45:00,0,1.1558,21.888
2014/08/05,16:00:00,0,1.1573,21.901
2014/08/05,16:15:00,0,1.1552,21.898
2014/08/05,16:30:00,0,1.1539,21.923
2014/08/05,16:45:00,0,1.1530,21.944
2014/08/05,17:00:00,0,1.1539,21.947
2014/08/05,17:15:00,0,1.1536,21.954
2014/08/05,17:30:00,0,1.1541,21.956
2014/08/05,17:45:00,0,1.1537,21.975
2014/08/05,18:00:00,0,1.1534,21.978
2014/08/05,18:15:00,0,1.1506,21.973
2014/08/05,18:30:00,0,1.1507,21.985
2014/08/05,18:45:00,0,1.1525,21.981
2014/08/05,19:00:00,0,1.1516,21.967
2014/08/05,19:15:00,0,1.1508,21.954
2014/08/05,19:30:00,0,1.1509,21.940
2014/08/05,19:45:00,0,1.1509,21.911
2014/08/05,20:00:00,0,1.1508,21.881
2014/08/05,20:15:00,0,1.1513,21.853
2014/08/05,20:30:00,0,1.1521,21.826
2014/08/05,20:45:00,0,1.1516,21.800
2014/08/05,21:00:00,0,1.1526,21.774
2014/08/05,21:15:00,0,1.1531,21.747
2014/08/05,21:30:00,0,1.1523,21.721
2014/08/05,21:45:00,0,1.1549,21.693
2014/08/05,22:00:00,0,1.1521,21.668
2014/08/05,22:15:00,0,1.1533,21.644
2014/08/05,22:30:00,0,1.1541,21.620
2014/08/05,22:45:00,0,1.1518,21.594
2014/08/05,23:00:00,0,1.1536,21.569
2014/08/05,23:15:00,0,1.1523,21.544
2014/08/05,23:30:00,0,1.1504,21.516
2014/08/05,23:45:00,0,1.1512,21.489
2014/08/06,00:00:00,0,1.1494,21.463
2014/08/06,00:15:00,0,1.1485,21.439
2014/08/06,00:30:00,0,1.1497,21.419
2014/08/06,00:45:00,0,1.1494,21.398
2014/08/06,01:00:00,0,1.1496,21.380
2014/08/06,01:15:00,0,1.1480,21.365
2014/08/06,01:30:00,0,1.1500,21.352
2014/08/06,01:45:00,0,1.1488,21.339
2014/08/06,02:00:00,0,1.1490,21.329
2014/08/06,02:15:00,0,1.1505,21.318
2014/08/06,02:30:00,0,1.1509,21.310
2014/08/06,02:45:00,0,1.1497,21.300
2014/08/06,03:00:00,0,1.1495,21.286
2014/08/06,03:15:00,0,1.1498,21.274
2014/08/06,03:30:00,0,1.1516,21.260
2014/08/06,03:45:00,0,1.1482,21.250
2014/08/06,04:00:00,0,1.1490,21.238
2014/08/06,04:15:00,0,1.1480,21.225
2014/08/06,04:30:00,0,1.1470,21.208
2014/08/06,04:45:00,0,1.1487,21.189
2014/08/06,05:00:00,0,1.1483,21.166
2014/08/06,05:15:00,0,1.1497,21.143
2014/08/06,05:30:00,0,1.1486,21.122
2014/08/06,05:45:00,0,1.1476,21.097
2014/08/06,06:00:00,0,1.1480,21.073
2014/08/06,06:15:00,0,1.1486,21.046
2014/08/06,06:30:00,0,1.1491,21.024
2014/08/06,06:45:00,0,1.1478,21.005
2014/08/06,07:00:00,0,1.1483,20.991
2014/08/06,07:15:00,0,1.1498,20.980
2014/08/06,07:30:00,0,1.1496,20.965
2014/08/06,07:45:00,0,1.1519,20.951
2014/08/06,08:00:00,0,1.1527,20.948
2014/08/06,08:15:00,0,1.1509,20.952
2014/08/06,08:30:00,0,1.1518,20.976
2014/08/06,08:45:00,0,1.1498,20.998
2014/08/06,09:00:00,0,1.1494,21.074
2014/08/06,09:15:00,0,1.1474,21.158
2014/08/06,09:30:00,0,1.1469,21.196
2014/08/06,09:45:00,0,1.1460,21.348
2014/08/06,10:00:00,0,1.1429,21.521
2014/08/06,10:15:00,0,1.1428,21.634
2014/08/06,10:30:00,0,1.1417,21.734
2014/08/06,10:45:00,0,1.1401,21.831
2014/08/06,11:00:00,0,1.1416,21.983
2014/08/06,11:15:00,0,1.1418,22.197
2014/08/06,11:30:00,0,1.1393,22.476
2014/08/06,11:45:00,0,1.1377,22.742
2014/08/06,12:00:00,0,1.1368,22.991
2014/08/06,12:15:00,0,1.1386,23.235
2014/08/06,12:30:00,0,1.1366,23.480
2014/08/06,12:45:00,0,1.1347,23.680
2014/08/06,13:00:00,0,1.1347,23.898
2014/08/06,13:15:00,0,1.1324,24.065
2014/08/06,13:30:00,0,1.1315,24.247
2014/08/06,13:45:00,0,1.1313,24.353
2014/08/06,14:00:00,0,1.1296,24.456
2014/08/06,14:15:00,0,1.1293,24.572
2014/08/06,14:30:00,0,1.1287,24.662
2014/08/06,14:45:00,0,1.1263,24.750
2014/08/06,15:00:00,0,1.1250,24.841
2014/08/06,15:15:00,0,1.1270,24.923
2014/08/06,15:30:00,0,1.1236,25.022
2014/08/06,15:45:00,0,1.1240,25.096
2014/08/06,16:00:00,0,1.1209,25.026
2014/08/06,16:15:00,0,1.1199,24.901
2014/08/06,16:30:00,0,1.1181,24.843
2014/08/06,16:45:00,0,1.1205,24.796
2014/08/06,17:00:00,0,1.1180,24.782
2014/08/06,17:15:00,0,1.1180,24.668
2014/08/06,17:30:00,0,1.1169,24.513
2014/08/06,17:45:00,0,1.1197,24.434
2014/08/06,18:00:00,0,1.1201,24.351
2014/08/06,18:15:00,0,1.1172,24.331
2014/08/06,18:30:00,0,1.1187,24.230
2014/08/06,18:45:00,0,1.1193,24.161
2014/08/06,19:00:00,0,1.1198,24.132
2014/08/06,19:15:00,0,1.1178,24.066
2014/08/06,19:30:00,0,1.1185,24.022
2014/08/06,19:45:00,0,1.1183,23.965
2014/08/06,20:00:00,0,1.1187,23.925
2014/08/06,20:15:00,0,1.1185,23.870
2014/08/06,20:30:00,0,1.1221,23.820
2014/08/06,20:45:00,0,1.1264,23.765
2014/08/06,21:00:00,0,1.1277,23.708
2014/08/06,21:15:00,0,1.1308,23.655
2014/08/06,21:30:00,0,1.1320,23.613
2014/08/06,21:45:00,0,1.1341,23.575
2014/08/06,22:00:00,0,1.1358,23.537
2014/08/06,22:15:00,0,1.1340,23.496
2014/08/06,22:30:00,0,1.1356,23.462
2014/08/06,22:45:00,0,1.1344,23.429
2014/08/06,23:00:00,0,1.1334,23.404
2014/08/06,23:15:00,0,1.1336,23.365
2014/08/06,23:30:00,0,1.1335,23.330
2014/08/06,23:45:00,0,1.1331,23.299
2014/08/07,00:00:00,0,1.1323,23.259
2014/08/07,00:15:00,0,1.1318,23.225
2014/08/07,00:30:00,0,1.1310,23.192
2014/08/07,00:45:00,0,1.1291,23.160
2014/08/07,01:00:00,0,1.1299,23.130
2014/08/07,01:15:00,0,1.1282,23.088
2014/08/07,01:30:00,0,1.1287,23.060
2014/08/07,01:45:00,0,1.1274,23.030
2014/08/07,02:00:00,0,1.1260,23.001
2014/08/07,02:15:00,0,1.1276,22.966
2014/08/07,02:30:00,0,1.1264,22.937
2014/08/07,02:45:00,0,1.1247,22.903
2014/08/07,03:00:00,0,1.1239,22.866
2014/08/07,03:15:00,0,1.1257,22.832
2014/08/07,03:30:00,0,1.1286,22.800
2014/08/07,03:45:00,0,1.1283,22.769
2014/08/07,04:00:00,0,1.1279,22.736
2014/08/07,04:15:00,0,1.1275,22.703
2014/08/07,04:30:00,0,1.1273,22.669
2014/08/07,04:45:00,0,1.1280,22.637
2014/08/07,05:00:00,0,1.1277,22.604
2014/08/07,05:15:00,0,1.1249,22.571
2014/08/07,05:30:00,0,1.1268,22.537
2014/08/07,05:45:00,0,1.1285,22.500
2014/08/07,06:00:00,0,1.1284,22.464
2014/08/07,06:15:00,0,1.1292,22.428
2014/08/07,06:30:00,0,1.1278,22.396
2014/08/07,06:45:00,0,1.1273,22.366
2014/08/07,07:00:00,0,1.1280,22.338
2014/08/07,07:15:00,0,1.1262,22.313
2014/08/07,07:30:00,0,1.1276,22.295
2014/08/07,07:45:00,0,1.1272,22.277
2014/08/07,08:00:00,0,1.1261,22.259
2014/08/07,08:15:00,0,1.1247,22.261
2014/08/07,08:30:00,0,1.1246,22.275
2014/08/07,08:45:00,0,1.1230,22.316
2014/08/07,09:00:00,0,1.1205,22.375
2014/08/07,09:15:00,0,1.1191,22.454
2014/08/07,09:30:00,0,1.1169,22.539
2014/08/07,09:45:00,0,1.1147,22.635
2014/08/07,10:00:00,0,1.1137,22.719
2014/08/07,10:15:00,0,1.1140,22.813
2014/08/07,10:30:00,0,1.1129,22.921
2014/08/07,10:45:00,0,1.1099,23.054
2014/08/07,11:00:00,0,1.1084,23.215
2014/08/07,11:15:00,0,1.1066,23.441
2014/08/07,11:30:00,0,1.1037,23.705
2014/08/07,11:45:00,0,1.1021,23.993
2014/08/07,12:00:00,0,1.1016,24.265
2014/08/07,12:15:00,0,1.1003,24.550
2014/08/07,12:30:00,0,1.0997,24.785
2014/08/07,12:45:00,0,1.0969,25.027
2014/08/07,13:00:00,0,1.0980,25.239
2014/08/07,13:15:00,0,1.0942,25.415
2014/08/07,13:30:00,0,1.0955,25.601
2014/08/07,13:45:00,0,1.0955,25.779
2014/08/07,14:00:00,0,1.0938,25.914
2014/08/07,14:15:00,0,1.0935,26.044
2014/08/07,14:30:00,0,1.0928,26.172
2014/08/07,14:45:00,0,1.0902,26.276
2014/08/07,15:00:00,0,1.0897,26.372
2014/08/07,15:15:00,0,1.0881,26.423
2014/08/07,15:30:00,0,1.0859,26.475
2014/08/07,15:45:00,0,1.0854,26.529
2014/08/07,16:00:00,0,1.0839,26.569
2014/08/07,16:15:00,0,1.0823,26.587
2014/08/07,16:30:00,0,1.0845,26.582
2014/08/07,16:45:00,0,1.0806,26.532
2014/08/07,17:00:00,0,1.0793,26.522
2014/08/07,17:15:00,0,1.0780,26.474
2014/08/07,17:30:00,0,1.0798,26.418
2014/08/07,17:45:00,0,1.0802,26.338
2014/08/07,18:00:00,0,1.0779,26.254
2014/08/07,18:15:00,0,1.0792,26.111
2014/08/07,18:30:00,0,1.0777,25.938
2014/08/07,18:45:00,0,1.0782,25.782
2014/08/07,19:00:00,0,1.0788,25.641
2014/08/07,19:15:00,0,1.0778,25.528
2014/08/07,19:30:00,0,1.0759,25.425
2014/08/07,19:45:00,0,1.0776,25.346
2014/08/07,20:00:00,0,1.0805,25.277
2014/08/07,20:15:00,0,1.0813,25.202
2014/08/07,20:30:00,0,1.0861,25.119
2014/08/07,20:45:00,0,1.0878,25.047
2014/08/07,21:00:00,0,1.0899,24.972
2014/08/07,21:15:00,0,1.0905,24.915
2014/08/07,21:30:00,0,1.0920,24.858
2014/08/07,21:45:00,0,1.0934,24.802
2014/08/07,22:00:00,0,1.0955,24.741
2014/08/07,22:15:00,0,1.0950,24.691
2014/08/07,22:30:00,0,1.0948,24.637
2014/08/07,22:45:00,0,1.0942,24.581
2014/08/07,23:00:00,0,1.0947,24.527
2014/08/07,23:15:00,0,1.0940,24.479
2014/08/07,23:30:00,0,1.0934,24.431
2014/08/07,23:45:00,0,1.0942,24.387
2014/08/08,00:00:00,0,1.0950,24.345
2014/08/08,00:15:00,0,1.0964,24.305
2014/08/08,00:30:00,0,1.0971,24.271
2014/08/08,00:45:00,0,1.0954,24.237
2014/08/08,01:00:00,0,1.0956,24.205
2014/08/08,01:15:00,0,1.0945,24.173
2014/08/08,01:30:00,0,1.0967,24.143
2014/08/08,01:45:00,0,1.0969,24.110
2014/08/08,02:00:00,0,1.0968,24.080
2014/08/08,02:15:00,0,1.0964,24.050
2014/08/08,02:30:00,0,1.0970,24.018
2014/08/08,02:45:00,0,1.0962,23.985
2014/08/08,03:00:00,0,1.0953,23.953
2014/08/08,03:15:00,0,1.0938,23.922
2014/08/08,03:30:00,0,1.0959,23.885
2014/08/08,03:45:00,0,1.0961,23.848
2014/08/08,04:00:00,0,1.0946,23.809
2014/08/08,04:15:00,0,1.0942,23.769
2014/08/08,04:30:00,0,1.0940,23.730
2014/08/08,04:45:00,0,1.0930,23.690
2014/08/08,05:00:00,0,1.0942,23.647
2014/08/08,05:15:00,0,1.0920,23.608
2014/08/08,05:30:00,0,1.0931,23.566
2014/08/08,05:45:00,0,1.0946,23.522
2014/08/08,06:00:00,0,1.0944,23.485
2014/08/08,06:15:00,0,1.0968,23.443
2014/08/08,06:30:00,0,1.0991,23.406
2014/08/08,06:45:00,0,1.0991,23.372
2014/08/08,07:00:00,0,1.0976,23.341
2014/08/08,07:15:00,0,1.0974,23.315
2014/08/08,07:30:00,0,1.0972,23.293
2014/08/08,07:45:00,0,1.0992,23.271
2014/08/08,08:00:00,0,1.0990,23.254
2014/08/08,08:15:00,0,1.0992,23.255
2014/08/08,08:30:00,0,1.0976,23.273
2014/08/08,08:45:00,0,1.0964,23.307
2014/08/08,09:00:00,0,1.0946,23.359
2014/08/08,09:15:00,0,1.0936,23.438
2014/08/08,09:30:00,0,1.0926,23.540
2014/08/08,09:45:00,0,1.0922,23.644
2014/08/08,10:00:00,0,1.0907,23.738
2014/08/08,10:15:00,0,1.0897,23.841
2014/08/08,10:30:00,0,1.0899,23.959
2014/08/08,10:45:00,0,1.0892,24.078
2014/08/08,11:00:00,0,1.0885,24.209
2014/08/08,11:15:00,0,1.0874,24.408
2014/08/08,11:30:00,0,1.0859,24.646
2014/08/08,11:45:00,0,1.0874,24.909
2014/08/08,12:00:00,0,1.0868,25.165
2014/08/08,12:15:00,0,1.0832,25.443
2014/08/08,12:30:00,0,1.0829,25.685
2014/08/08,12:45:00,0,1.0845,25.911
2014/08/08,13:00:00,0,1.0814,26.103
2014/08/08,13:15:00,0,1.0815,26.284
2014/08/08,13:30:00,0,1.0783,26.470
2014/08/08,13:45:00,0,1.0771,26.648
2014/08/08,14:00:00,0,1.0776,26.769
