Serial_number:,,,,
1023733,,,,
Project ID:,,,,
CWS,,,,
Location:,,,,
NFA,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Altitude: 360.000000 m,,,,
Density: 1.000000 kg/L,,,,
Temperature,,,,
UNIT: Deg C,,,,
Date,Time,ms,Level,Temperature
1/1/15,0:00:00,0,1.5411,2.225
1/1/15,0:15:00,0,1.542,2.208
1/1/15,0:30:00,0,1.5388,2.201
1/1/15,0:45:00,0,1.5447,2.193
1/1/15,1:00:00,0,1.5455,2.184
1/1/15,1:15:00,0,1.5482,2.169
1/1/15,1:30:00,0,1.5496,2.159
1/1/15,1:45:00,0,1.5524,2.147
1/1/15,2:00:00,0,1.5554,2.136
1/1/15,2:15:00,0,1.5607,2.125
1/1/15,2:30:00,0,1.549,2.111
1/1/15,2:45:00,0,1.5615,2.098
1/1/15,3:00:00,0,1.5596,2.094
1/1/15,3:15:00,0,1.5734,2.084
1/1/15,3:30:00,0,1.568,2.075
1/1/15,3:45:00,0,1.5627,2.067
1/1/15,4:00:00,0,1.5683,2.058
1/1/15,4:15:00,0,1.5629,2.051
1/1/15,4:30:00,0,1.5695,2.044
1/1/15,4:45:00,0,1.5623,2.036
1/1/15,5:00:00,0,1.5659,2.024
1/1/15,5:15:00,0,1.5636,2.008
1/1/15,5:30:00,0,1.5594,1.993
1/1/15,5:45:00,0,1.5621,1.978
1/1/15,6:00:00,0,1.5617,1.962
1/1/15,6:15:00,0,1.5609,1.944
1/1/15,6:30:00,0,1.5667,1.929
1/1/15,6:45:00,0,1.5629,1.916
1/1/15,7:00:00,0,1.5593,1.897
1/1/15,7:15:00,0,1.5671,1.881
1/1/15,7:30:00,0,1.5713,1.862
1/1/15,7:45:00,0,1.565,1.841
1/1/15,8:00:00,0,1.5709,1.826
1/1/15,8:15:00,0,1.5733,1.808
1/1/15,8:30:00,0,1.5765,1.793
1/1/15,8:45:00,0,1.5756,1.782
1/1/15,9:00:00,0,1.5766,1.772
1/1/15,9:15:00,0,1.5785,1.762
1/1/15,9:30:00,0,1.5807,1.755
1/1/15,9:45:00,0,1.5746,1.755
1/1/15,10:00:00,0,1.5742,1.752
1/1/15,10:15:00,0,1.5874,1.75
1/1/15,10:30:00,0,1.579,1.745
1/1/15,10:45:00,0,1.5732,1.741
1/1/15,11:00:00,0,1.5802,1.738
1/1/15,11:15:00,0,1.579,1.735
1/1/15,11:30:00,0,1.5736,1.73
1/1/15,11:45:00,0,1.5758,1.728
1/1/15,12:00:00,0,1.5728,1.727
1/1/15,12:15:00,0,1.5645,1.724
1/1/15,12:30:00,0,1.5648,1.733
